Search:,Year,Semester
URBP 279 (Section 01),48163,In Person,Advanced GIS for Urban Planning,,4.0,SEM,R,2024,Fall
TBA,R,2024,Fall
TBA,Richard Kos / Richard Kos,WSQ208,2024,Fall
URBP 280 (Section 80),47860,Fully Online,Planning Research Topics,,1.0,SEM,TBA,TBA,Richard Kos,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
URBP 280 (Section 81),47861,Fully Online,Planning Research Topics,,2.0,SEM,TBA,TBA,Thomas Lester,ONLINE,08/21/24-12/09/24,5,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
URBP 280 (Section 83),47862,Fully Online,Planning Research Topics,,3.0,SEM,TBA,TBA,Thomas Lester,ONLINE,08/21/24-12/09/24,5,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
URBP 280 (Section 84),50802,Fully Online,Planning Research Topics,,1.0,SEM,TBA,TBA,Richard Kos,ONLINE,08/21/24-12/09/24,5,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
URBP 295 (Section 01),47982,In Person,Capstone Studio: Community Planning,,6.0,SEM,T,01:30PM-07:00PM,Richard Kos / Gordon Douglas,OFFCAMPUS,08/21/24-12/09/24,3,IC - See course description for requirements.,2024,Fall
URBP 298A (Section 80),47987,Fully Online,Special Study: Planning Report,,3.0,SUP,TBA,TBA,Gordon Douglas,ONLINE,08/21/24-12/09/24,5,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
RB - Requires Consent of graduate or undergraduate advisor.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
URBP 298A (Section 81),47988,Fully Online,Special Study: Planning Report,,3.0,SUP,TBA,TBA,Charles Rivasplata,ONLINE,08/21/24-12/09/24,4,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
RB - Requires Consent of graduate or undergraduate advisor.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
URBP 298A (Section 82),50280,Fully Online,Special Study: Planning Report,,3.0,SUP,TBA,TBA,Sophie Kelmenson,ONLINE,08/21/24-12/09/24,8,2024,Fall
RO - Not available to Open University students.,2024,Fall
URBP 298B (Section 80),48016,Fully Online,Special Study: Planning Report Completion,,3.0,SUP,TBA,TBA,Gordon Douglas,ONLINE,08/21/24-12/09/24,10,2024,Fall
IC - See course description for requirements.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
RB - Requires Consent of graduate or undergraduate advisor.,2024,Fall
RO - Not available to Open University students.,2024,Fall
URBP 298B (Section 81),48017,Fully Online,Special Study: Planning Report Completion,,3.0,SUP,TBA,TBA,Charles Rivasplata,ONLINE,08/21/24-12/09/24,5,2024,Fall
IC - See course description for requirements.,2024,Fall
PV - Prerequisite courses required. See course description.,2024,Fall
RB - Requires Consent of graduate or undergraduate advisor.,2024,Fall
RO - Not available to Open University students.,2024,Fall
URBP 298B (Section 82),50281,Fully Online,Special Study: Planning Report Completion,,3.0,SUP,TBA,TBA,Sophie Kelmenson,ONLINE,08/21/24-12/09/24,4,2024,Fall
RO - Not available to Open University students.,2024,Fall
VIET 1A (Section 01),44079,Hybrid,Elementary Vietnamese,GE: C2,4.0,SEM,T,2024,Fall
TBA,T,2024,Fall
TBA,Huyen Le,CL204,2024,Fall
WGSS 10 (Section 01),47519,In Person,"Women, Gender, and Sexuality Studies",GE: D,3.0,LEC,MW,12:00PM-01:15PM,Angela Castillo,CL234,08/21/24-12/09/24,1,2024,Fall
WGSS 10 (Section 80),47697,Fully Online,"Women, Gender, and Sexuality Studies",GE: D,3.0,LEC,TBA,TBA,Angela Castillo,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
WGSS 10 (Section 81),50804,Fully Online,"Women, Gender, and Sexuality Studies",GE: D,3.0,LEC,TBA,TBA,Bianca Hernandez,ONLINE,08/21/24-12/09/24,5,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
WGSS 101 (Section 01),47516,In Person,"Sex, Power, and Politics",GE: S,3.0,LEC,MW,10:30AM-11:45AM,Susana Gallardo,CL234,08/21/24-12/09/24,2,2024,Fall
WGSS 101 (Section 80),47700,Fully Online,"Sex, Power, and Politics",GE: S,3.0,LEC,TBA,TBA,Apryl Berney,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
WGSS 102 (Section 01),47578,In Person,The Global Study of Women,GE: V,3.0,LEC,MW,03:00PM-04:15PM,Angela Castillo,DMH226A,08/21/24-12/09/24,7,2024,Fall
WGSS 102 (Section 80),47703,Fully Online,The Global Study of Women,GE: V,3.0,LEC,TBA,TBA,Angela Castillo,ONLINE,08/21/24-12/09/24,1,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
WGSS 107 (Section 80),49665,Fully Online,Psychology of Women,,3.0,LEC,MW,01:30PM-02:45PM,Neelam Rattan,ONLINE,08/21/24-12/09/24,34,2024,Fall
IC - See course description for requirements.,2024,Fall
WGSS 112 (Section 01),47525,In Person,Women in the Global Economy,,3.0,LEC,MW,01:30PM-02:45PM,Tanya Bakhru,CL234,08/21/24-12/09/24,20,2024,Fall
WGSS 121 (Section 01),49636,In Person,Philosophy and Feminism,,3.0,LEC,M,03:00PM-05:45PM,Riana Betzler,SH241,08/21/24-12/09/24,33,2024,Fall
WGSS 175 (Section 01),49704,In Person,Sociology of Masculinities and Femininities,,3.0,LEC,TR,03:00PM-04:15PM,Sneha Dutta Hazarika,DMH231,08/21/24-12/09/24,31,2024,Fall
WGSS 20 (Section 01),47512,In Person,Women of Color in the U.S.,GE: D,3.0,LEC,MW,09:00AM-10:15AM,Susana Gallardo,CL234,08/21/24-12/09/24,0,2024,Fall
WGSS 20 (Section 80),47698,Fully Online,Women of Color in the U.S.,GE: D,3.0,LEC,TBA,TBA,Susana Gallardo,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
ZOOL 115 (Section 02),49944,In Person,Invertebrate Zoology and Natural History,,4.0,LEC,TR,12:00PM-12:50PM,Maya Devries,DH352,08/21/24-12/09/24,1,2024,Fall
ZOOL 115 (Section 12),49945,In Person,Invertebrate Zoology and Natural History,,0,LAB,TR,01:00PM-03:45PM,Maya Devries,DH352,08/21/24-12/09/24,1,2024,Fall
ZOOL 180 (Section 01),40486,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,10,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
ZOOL 180 (Section 02),40487,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
ZOOL 186 (Section 01),40488,In Person,Senior Thesis,,2.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,10,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
ZOOL 186 (Section 02),40489,In Person,Senior Thesis,,3.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
