Search:,Year,Semester
NUFS 180 (Section 08),48711,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Susan Chen,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 09),48712,In Person,Individual Studies,,1.0,SUP,TBA,TBA,Xi Feng,,08/21/24-12/09/24,19,RO - Not available to Open University students.,2024,Fall
NUFS 180 (Section 10),48713,In Person,Individual Studies,,2.0,SUP,TBA,TBA,Xi Feng,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 190 (Section 02),50097,In Person,Nutrition Education and Counseling,,3.0,LEC,TR,01:30PM-02:45PM,Mi Zhou,CL302,08/21/24-12/09/24,14,2024,Fall
NUFS 192 (Section 01),48978,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,1.0,SUP,TBA,TBA,Laurie Steinberg,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 02),48979,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,2.0,SUP,TBA,TBA,Laurie Steinberg,,08/21/24-12/09/24,18,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 03),48980,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,3.0,SUP,TBA,TBA,Laurie Steinberg,,08/21/24-12/09/24,19,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 04),48981,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,4.0,SUP,TBA,TBA,Laurie Steinberg,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 05),48982,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,5.0,SUP,TBA,TBA,Laurie Steinberg,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 06),48983,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,6.0,SUP,TBA,TBA,Laurie Steinberg,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 07),48984,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,2.0,SUP,TBA,TBA,Jamie Kubota,,08/21/24-12/09/24,5,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 08),48985,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,2.0,SUP,TBA,TBA,Izzie Brown,,08/21/24-12/09/24,19,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 09),48986,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,2.0,SUP,TBA,TBA,Caroline Haas,,08/21/24-12/09/24,19,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 10),48987,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,4.0,SUP,TBA,TBA,Edmund Tang,,08/21/24-12/09/24,10,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 11),48988,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,5.0,SUP,TBA,TBA,Edmund Tang,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 192 (Section 12),48989,In Person,Field Experience in Nutrition and Food Science and Packaging Technology,,6.0,SUP,TBA,TBA,Edmund Tang,,08/21/24-12/09/24,20,RO - Not available to Open University students.,2024,Fall
NUFS 1A (Section 80),42508,Fully Online,Physical Science of Food,GE: B1,3.0,SEM,MW,09:00AM-10:15AM,Inbar Vanek,ONLINE,08/21/24-12/09/24,2,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 1A (Section 81),42911,Fully Online,Physical Science of Food,GE: B1,3.0,SEM,TBA,TBA,Mary Hall,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 1A (Section 82),42912,Fully Online,Physical Science of Food,GE: B1,3.0,SEM,TBA,TBA,Gabriela John Swamy,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 1A (Section 83),47019,Fully Online,Physical Science of Food,GE: B1,3.0,SEM,TBA,TBA,Inbar Vanek,ONLINE,08/21/24-12/09/24,4,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
NUFS 1A (Section 84),50554,Fully Online,Physical Science of Food,GE: B1,3.0,SEM,TBA,TBA,Inbar Vanek,ONLINE,08/21/24-12/09/24,4,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
