Search:,Year,Semester
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
RS - Restricted to majors in this department. Contact department for more information.,2024,Fall
JS 184 (Section 80),44489,Fully Online,Directed Reading,,1.0,SUP,TBA,TBA,Staff,ONLINE,08/21/24-12/09/24,10,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
RS - Restricted to majors in this department. Contact department for more information.,2024,Fall
JS 184 (Section 81),44490,Fully Online,Directed Reading,,2.0,SUP,TBA,TBA,Staff,ONLINE,08/21/24-12/09/24,10,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RE - Requires negotiated agreements or contracts. Consult department.,2024,Fall
RO - Not available to Open University students.,2024,Fall
RS - Restricted to majors in this department. Contact department for more information.,2024,Fall
JS 184 (Section 82),44491,Fully Online,Directed Reading,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/24-12/09/24,10,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RE - Requires negotiated agreements or contracts. Consult department.,2024,Fall
RO - Not available to Open University students.,2024,Fall
RS - Restricted to majors in this department. Contact department for more information.,2024,Fall
JS 189 (Section 01),42864,In Person,Senior Seminar: Contemporary Problems,,3.0,SEM,MW,09:00AM-10:15AM,Natalie Birthelmer,MH520,08/21/24-12/09/24,0,RC - Requires department release of permission number.,2024,Fall
JS 189 (Section 02),43007,In Person,Senior Seminar: Contemporary Problems,,3.0,SEM,MW,01:30PM-02:45PM,John Halushka,MH523,08/21/24-12/09/24,0,RC - Requires department release of permission number.,2024,Fall
JS 189 (Section 03),46154,In Person,Senior Seminar: Contemporary Problems,,3.0,SEM,TR,09:00AM-10:15AM,Kevin Lynch,CL318,08/21/24-12/09/24,2,RC - Requires department release of permission number.,2024,Fall
JS 189 (Section 80),46585,Fully Online,Senior Seminar: Contemporary Problems,,3.0,SEM,TBA,TBA,Alessandro De Giorgi,ONLINE,08/21/24-12/09/24,0,2024,Fall
RC - Requires department release of permission number.,2024,Fall
JS 201 (Section 01),43630,In Person,Justice and Social Theory,GWAR,3.0,SEM,M,04:30PM-07:15PM,Alessandro De Giorgi,MH526,08/21/24-12/09/24,0,2024,Fall
JS 202 (Section 01),43540,In Person,Survey of Research Methods,,3.0,SEM,W,04:30PM-07:15PM,Gabriela Gonzalez,MH526,08/21/24-12/09/24,0,2024,Fall
JS 207 (Section 01),43541,In Person,Seminar in Qualitative Research Methods,,3.0,SEM,T,04:30PM-07:15PM,Ericka Adams,MH526,08/21/24-12/09/24,2,2024,Fall
JS 212 (Section 01),48402,In Person,Local a Global Perspectives on Human Rights,,3.0,SEM,M,04:30PM-07:15PM,Edith Kinney,MH520,08/21/24-12/09/24,5,2024,Fall
JS 213 (Section 01),48442,In Person,Seminar in Cybercrime,,3.0,SEM,R,04:30PM-07:15PM,Bryce Westlake,MH526,08/21/24-12/09/24,6,2024,Fall
JS 25 (Section 01),44931,In Person,Introduction to Human Rights and Justice,GE: D,3.0,LEC,TR,10:30AM-11:45AM,Kevin Lynch,MH520,08/21/24-12/09/24,0,2024,Fall
JS 25 (Section 80),44932,Fully Online,Introduction to Human Rights and Justice,GE: D,3.0,LEC,TBA,TBA,Edith Kinney,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
JS 281 (Section 80),45612,Fully Online,Justice Practicum,,1.0,SUP,TBA,TBA,Staff,ONLINE,08/21/24-12/09/24,5,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RD - Requires department approval.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 281 (Section 81),45610,Fully Online,Justice Practicum,,2.0,SUP,TBA,TBA,Staff,ONLINE,08/21/24-12/09/24,5,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RD - Requires department approval.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 281 (Section 82),44797,Fully Online,Justice Practicum,,3.0,SUP,TBA,TBA,Staff,ONLINE,08/21/24-12/09/24,5,2024,Fall
PB - Prereq - Upper division standing.,2024,Fall
RD - Requires department approval.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 297 (Section 80),49984,Fully Online,Program Evaluation Project,,3.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/24-12/09/24,4,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 298 (Section 80),41379,Fully Online,Special Study,,1.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/24-12/09/24,5,2024,Fall
PC - Prereq - Graduate student status.,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 298 (Section 81),42686,Fully Online,Special Study,,2.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/24-12/09/24,5,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 298 (Section 82),43106,Fully Online,Special Study,,3.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/24-12/09/24,4,2024,Fall
RD - Requires department approval.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 299 (Section 80),47086,Fully Online,Master's Thesis,,3.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/24-12/09/24,3,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JS 299 (Section 81),47087,Fully Online,Master's Thesis,,6.0,SUP,TBA,TBA,Ericka Adams,ONLINE,08/21/24-12/09/24,5,2024,Fall
RC - Requires department release of permission number.,2024,Fall
RO - Not available to Open University students.,2024,Fall
JWSS 1A (Section 80),49559,Fully Online,Elementary Hebrew,GE: C2,4.0,LEC,MW,01:30PM-03:10PM,Galia Stein Rosen,ONLINE,08/21/24-12/09/24,28,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
JWSS 90 (Section 01),49675,In Person,Bible History and Literature,GE: C2,3.0,LEC,TR,01:30PM-02:45PM,Todd Perreira,BBC125,08/21/24-12/09/24,23,2024,Fall
JWSS 90 (Section 80),49676,Fully Online,Bible History and Literature,GE: C2,3.0,LEC,TBA,TBA,Marianne Delaporte Kabir,ONLINE,08/21/24-12/09/24,24,FULLY ONLINE - NO designated day/time meetings (TBA). May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
KIN 100W (Section 02),41742,In Person,Writing Workshop,WID,3.0,SEM,MW,01:30PM-02:45PM,Matt Crockett,YUH128,08/21/24-12/09/24,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
KIN 100W (Section 03),42902,In Person,Writing Workshop,WID,3.0,SEM,MW,03:00PM-04:15PM,Matt Crockett,YUH128,08/21/24-12/09/24,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
KIN 100W (Section 04),43296,In Person,Writing Workshop,WID,3.0,SEM,TR,09:00AM-10:15AM,Jessica Chin,SPXE163,08/21/24-12/09/24,1,PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
KIN 100W (Section 05),46003,In Person,Writing Workshop,WID,3.0,SEM,MW,09:00AM-10:15AM,Daniel Bohigian,SPXE163,08/21/24-12/09/24,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
KIN 100W (Section 06),48501,In Person,Writing Workshop,WID,3.0,SEM,MW,12:00PM-01:15PM,Daniel Bohigian,SPXE163,08/21/24-12/09/24,0,PU - At first class meeting students must furnish proof of completion of prerequisites.,2024,Fall
KIN 101 (Section 01),42101,In Person,Sport in America,GE: S,3.0,LEC,TR,09:00AM-10:15AM,Matt Crockett,CL302,08/21/24-12/09/24,1,2024,Fall
KIN 107 (Section 02),44218,In Person,Adapted Aquatics,,0,LAB,S,09:00AM-10:50AM,Brittany Manrubia,OFFCAMPUS,08/21/24-12/09/24,8,"LA - Class meets at off-campus location, students must arrange own transportation.",2024,Fall
KIN 107 (Section 80),44217,Fully Online,Adapted Aquatics,,2.0,LEC,R,03:00PM-03:50PM,Brittany Manrubia,ONLINE,08/21/24-12/09/24,8,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
KIN 108 (Section 02),45706,In Person,Adapted Physical Activity for Young Adults with Disabilities,,0,LAB,W,09:00AM-10:50AM,Erin Siebert,OFFCAMPUS,08/21/24-12/09/24,0,"LA - Class meets at off-campus location, students must arrange own transportation.",2024,Fall
KIN 108 (Section 80),45705,Fully Online,Adapted Physical Activity for Young Adults with Disabilities,,2.0,LEC,T,03:00PM-03:50PM,Erin Siebert,ONLINE,08/21/24-12/09/24,0,FULLY ONLINE - Designated day/time online meetings. May utilize Canvas. More info at sjsu.edu/cfeti,2024,Fall
