Search:,Year,Semester
CS 297 (Section 09),46621,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Leonard Wesley,,08/21/24-12/09/24,3,RO - Not available to Open University students.,2024,Fall
CS 297 (Section 10),46622,In Person,Preparation for Writing Project or Thesis,,3.0,SUP,TBA,TBA,Robert Chun,,08/21/24-12/09/24,0,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 01),45834,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Katerina Potika,,08/21/24-12/09/24,4,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 02),45835,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Philip Heller,,08/21/24-12/09/24,2,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 03),45836,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Leonard Wesley,,08/21/24-12/09/24,3,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 04),45837,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Robert Chun,,08/21/24-12/09/24,3,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 05),45838,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Sayma Akther,,08/21/24-12/09/24,4,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 06),45839,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Navrati Saxena,,08/21/24-12/09/24,3,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 07),45840,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Thomas Austin,,08/21/24-12/09/24,4,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 08),45841,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,William Andreopoulos,,08/21/24-12/09/24,2,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 09),45842,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Fabio Di Troia,,08/21/24-12/09/24,3,RO - Not available to Open University students.,2024,Fall
CS 298 (Section 10),45843,In Person,Master's Writing Project,,3.0,SUP,TBA,TBA,Christopher Pollett,,08/21/24-12/09/24,4,RO - Not available to Open University students.,2024,Fall
CS 299 (Section 01),46642,In Person,Master's Thesis,,3.0,SUP,TBA,TBA,Staff,,08/21/24-12/09/24,5,RO - Not available to Open University students.,2024,Fall
CS 42 (Section 01),49598,In Person,Discrete Mathematics,,3.0,SEM,MW,09:00AM-10:15AM,Giang Le,MH323,08/21/24-12/09/24,33,2024,Fall
CS 42 (Section 02),49599,In Person,Discrete Mathematics,,3.0,SEM,MW,12:00PM-01:15PM,Olga Kovaleva,MH323,08/21/24-12/09/24,32,2024,Fall
CS 42 (Section 03),49600,In Person,Discrete Mathematics,,3.0,SEM,MW,03:00PM-04:15PM,Giang Le,MH323,08/21/24-12/09/24,27,2024,Fall
CS 42 (Section 04),49601,In Person,Discrete Mathematics,,3.0,SEM,TR,09:00AM-10:15AM,Wasin So,MH424,08/21/24-12/09/24,33,2024,Fall
CS 42 (Section 05),49602,In Person,Discrete Mathematics,,3.0,SEM,TR,10:30AM-11:45AM,Wasin So,MH424,08/21/24-12/09/24,33,2024,Fall
CS 42 (Section 09),50340,In Person,Discrete Mathematics,,3.0,SEM,MW,01:30PM-02:45PM,Giang Le,MH520,08/21/24-12/09/24,32,2024,Fall
CS 42 (Section 66),49604,In Person,Discrete Mathematics,,3.0,SEM,TR,12:00PM-01:15PM,Sogol Jahanbekam,MH424,08/21/24-12/09/24,32,2024,Fall
CS 42 (Section 69),49606,In Person,Discrete Mathematics,,3.0,SEM,MW,10:30AM-11:45AM,Sogol Jahanbekam,SH314,08/21/24-12/09/24,30,2024,Fall
CS 42X (Section 01),49692,In Person,Discrete Mathematics,,3.0,LEC,MW,09:00AM-10:15AM,Giang Le,MH323,08/21/24-12/09/24,5,2024,Fall
CS 42X (Section 02),49693,In Person,Discrete Mathematics,,3.0,LEC,MW,12:00PM-01:15PM,Olga Kovaleva,MH323,08/21/24-12/09/24,6,2024,Fall
CS 42X (Section 03),49694,In Person,Discrete Mathematics,,3.0,LEC,MW,03:00PM-04:15PM,Giang Le,MH323,08/21/24-12/09/24,10,2024,Fall
CS 42X (Section 04),49695,In Person,Discrete Mathematics,,3.0,LEC,TR,09:00AM-10:15AM,Wasin So,MH424,08/21/24-12/09/24,5,2024,Fall
CS 42X (Section 05),49696,In Person,Discrete Mathematics,,3.0,LEC,TR,10:30AM-11:45AM,Wasin So,MH424,08/21/24-12/09/24,6,2024,Fall
CS 42X (Section 09),50343,In Person,Discrete Mathematics,,3.0,LEC,MW,01:30PM-02:45PM,Giang Le,MH520,08/21/24-12/09/24,15,2024,Fall
CS 42X (Section 66),49698,In Person,Discrete Mathematics,,3.0,LEC,TR,12:00PM-01:15PM,Sogol Jahanbekam,MH424,08/21/24-12/09/24,7,2024,Fall
CS 42X (Section 69),49700,In Person,Discrete Mathematics,,3.0,LEC,MW,10:30AM-11:45AM,Sogol Jahanbekam,SH314,08/21/24-12/09/24,10,2024,Fall
CS 46A (Section 01),42277,In Person,Introduction to Programming,,4.0,LEC,TR,12:00PM-01:15PM,Sayma Akther,SH100,08/21/24-12/09/24,5,2024,Fall
CS 46A (Section 02),48991,In Person,Introduction to Programming,,4.0,LEC,TR,09:00AM-10:15AM,Ethel Tshukudu,WSQ109,08/21/24-12/09/24,23,2024,Fall
CS 46A (Section 10),42296,In Person,Introduction to Programming,,4.0,LAB,F,08:00AM-10:50AM,Sayma Akther,MH235,08/21/24-12/09/24,0,2024,Fall
CS 46A (Section 11),42297,In Person,Introduction to Programming,,4.0,LAB,F,11:00AM-01:50PM,Sayma Akther,MH235,08/21/24-12/09/24,2,2024,Fall
CS 46A (Section 12),42298,In Person,Introduction to Programming,,4.0,LAB,F,02:00PM-04:50PM,Sayma Akther,MH235,08/21/24-12/09/24,2,2024,Fall
CS 46A (Section 13),42299,In Person,Introduction to Programming,,4.0,LAB,F,02:00PM-04:50PM,Sayma Akther,MH225,08/21/24-12/09/24,1,2024,Fall
CS 46A (Section 14),49400,In Person,Introduction to Programming,,4.0,LAB,F,08:00AM-10:50AM,Ethel Tshukudu,MH233,08/21/24-12/09/24,0,2024,Fall
CS 46A (Section 15),49401,In Person,Introduction to Programming,,4.0,LAB,F,11:00AM-01:50PM,Ethel Tshukudu,MH233,08/21/24-12/09/24,1,2024,Fall
CS 46A (Section 16),49402,In Person,Introduction to Programming,,4.0,LAB,F,02:00PM-04:50PM,Ethel Tshukudu,MH233,08/21/24-12/09/24,7,2024,Fall
CS 46A (Section 17),49403,In Person,Introduction to Programming,,4.0,LAB,F,02:00PM-04:50PM,Ethel Tshukudu,MH422,08/21/24-12/09/24,16,2024,Fall
CS 46AW (Section 01),49404,In Person,Introduction to Programming Workshop,,1.0,LAB,F,11:00AM-01:50PM,David Taylor,MH225,08/21/24-12/09/24,20,2024,Fall
CS 46AX (Section 03),50205,In Person,Introduction to Programming,,4.0,LEC,TR,12:00PM-01:15PM,Sayma Akther,SH100,08/21/24-12/09/24,18,2024,Fall
CS 46AX (Section 04),50206,In Person,Introduction to Programming,,4.0,LEC,TR,09:00AM-10:15AM,Ethel Tshukudu,WSQ109,08/21/24-12/09/24,18,2024,Fall
CS 46AX (Section 10),49405,In Person,Introduction to Programming,,4.0,LAB,F,08:00AM-10:50AM,Staff,MH235,08/21/24-12/09/24,18,2024,Fall
